Тема,Вопрос,Ответ
О школе и контакты,Кто вы и давно ли работаете?,"Автошкола работает больше семи лет и состоит из двух отделений — грузиноязычного и русскоязычного. Русскоязычное открылось три года назад, когда в Грузию приехало много людей, которым нужно было учиться на понятном языке.

Учатся не только приезжие. Приходят и граждане Грузии, окончившие русскоязычные школы: разговорный грузинский у них свободный, а технический язык ПДД даётся тяжело. Состав пёстрый — грузины, армяне, азербайджанцы, русские, украинцы, белорусы.

Похожие формулировки: «вы надёжные?», «сколько лет на рынке», «кто вы вообще»."
О школе и контакты,Обучение действительно полностью на русском?,"Да. И теория ПДД, и занятия по вождению проходят на русском языке — это русскоязычное отделение автошколы в Тбилиси. Инструкторы — грузины, свободно говорящие по-русски."
О школе и контакты,Кто преподаёт теорию?,"Два преподавателя — Людмила и Нина.

- Людмила ведёт только онлайн. График гибкий: занятия с 9:00 до 18:00, от 3 до 5 раз в неделю, курс можно растянуть, например, на месяц. Курс — 280 ₾.
- Нина ведёт группы в аудитории, а также может заниматься онлайн вечером (когда Людмила не работает) и на дому у ученика. У Нины фиксированная цена — 350 ₾ за курс в любом из этих форматов, занятия идут строго в одно и то же время.

Похожие формулировки: «кто будет преподавать», «можно вечером онлайн», «можно с преподавателем на дому»."
О школе и контакты,Кто инструкторы и на каких машинах учат?,"Два инструктора — Паата и Зураб, грузины, свободно говорят по-русски. Машины: Skoda Rapid и Volkswagen Jetta, одна с автоматической коробкой, другая с механической. Женщин-инструкторов сейчас нет, но школа работает над этим.

Похожие формулировки: «есть инструктор-женщина?», «на чём учат», «автомат или механика есть?»."
О школе и контакты,Где вы находитесь?,"- Аудитория (теория): проспект Важа Пшавела 9, у метро «Медицинский университет».
- Площадка (автодром): отдельная локация у метро «Церетели».
- Онлайн-занятия к месту не привязаны."
О школе и контакты,Когда вам можно звонить?,"Звонить удобно с 10:00 до 20:00 ежедневно. Писать в WhatsApp можно круглосуточно — в нерабочие часы никого не разбудите, ответят утром.

Если человек выбирает формат и не понимает, что подходит, — лучше договориться о звонке. За несколько минут разговора обычно становится понятнее, чем за час переписки, и это бесплатно."
О школе и контакты,Контакты,"- Телефон — Значение: +995 599 98 77 07
- WhatsApp — Значение: https://wa.me/995599987707 (круглосуточно)
- Messenger — Значение: https://m.me/avtoshkolatbilisi
- Почта — Значение: info@avtoshkola.ge
- Партнёрство — Значение: partners@avtoshkola.ge
- Facebook — Значение: https://www.facebook.com/avtoshkolatbilisi (110 000+ подписчиков)
- Сайт — Значение: https://avtoshkola.ge/
- Заявка на звонок — Значение: форма на главной: https://avtoshkola.ge/#contact"
О школе и контакты,Страницы сайта,"- Главная — https://avtoshkola.ge/ (программа, форматы, цены, форма заявки)
- Вопросы и ответы — https://avtoshkola.ge/voprosy/
- Экзамен по билетам ПДД онлайн — https://avtoshkola.ge/bilety/
- Тренировка по билетам без таймера — https://avtoshkola.ge/bilety/trenirovka/"
Обучение,Как проходит обучение (5 этапов),"1. Теория ПДД — правила дорожного движения Грузии на русском, очно или онлайн. Разбор билетов и сложных перекрёстков.
2. Площадка — первые часы за рулём: посадка, старт, парковка, манёвры.
3. Город — реальный трафик Тбилиси: круговые, подъёмы, перестроения.
4. Медицинское обследование — справка формы 100 у своего врача школы, один визит.
5. Экзамен — доводят до уверенного уровня, подсказывают, как записаться и что взять."
Обучение,Форматы занятий теории,"- Группа в аудитории — Как проходит: пр-т Важа Пшавела 9, будни в 19:00, 90 минут. Первая неделя — 5 уроков, вторая — 4. Всего 9 занятий за две недели, до 12 человек. Преподаватель — Нина; Цена: 150 ₾ за курс
- Индивидуально онлайн (Людмила) — Как проходит: 10 уроков по 90 минут, 3–5 раз в неделю, время с 9:00 до 18:00, график гибкий — курс можно растянуть на месяц; Цена: 280 ₾ за курс, 28 ₾ за занятие
- Индивидуально онлайн или на дому (Нина) — Как проходит: те же 10 уроков, но строго в одно и то же время, доступно вечернее время (20:00–21:00); Цена: 350 ₾ за курс
- Индивидуально в аудитории — Как проходит: формально есть, но аудитории почти всегда заняты — школа этот формат не рекомендует; Цена: 350 ₾ за курс
- Онлайн своей компанией — Как проходит: группу собирают сами ученики — друзья, брат с сестрой. Школа таких групп не формирует: у разных людей разные пожелания по графику; Цена: 210 / 180 / 150 ₾ с человека (вдвоём / втроём / вчетвером)

Важно: индивидуальный график нужно планировать заранее, за несколько дней или недель — преподаватели бывают загружены."
