Категория,Услуга,Что входит,Цена,Кому платится
Теория,Группа в аудитории,"9 занятий по 90 минут за две недели, будни в 19:00, до 12 человек, пр-т Важа Пшавела 9. Преподаватель Нина",150 ₾ за курс,автошколе
Теория,Индивидуально онлайн (Людмила),"10 занятий по 90 минут, 3-5 раз в неделю, время с 9:00 до 18:00, гибкий график",280 ₾ за курс,автошколе
Теория,Одно занятие онлайн,если полный курс не нужен — после бесплатного тестирования,28 ₾ за занятие,автошколе
Теория,Индивидуально онлайн вечером или на дому (Нина),"10 занятий, строго в одно и то же время, доступно вечернее время",350 ₾ за курс,автошколе
Теория,Индивидуально в аудитории,"формат есть, но аудитории почти всегда заняты — школа не рекомендует",350 ₾ за курс,автошколе
Теория,Онлайн вдвоём,"группу собирают сами ученики, цена с человека за курс",210 ₾ с человека,автошколе
Теория,Онлайн втроём,"группу собирают сами ученики, цена с человека за курс",180 ₾ с человека,автошколе
Теория,Онлайн вчетвером,"группу собирают сами ученики, цена с человека за курс",150 ₾ с человека,автошколе
Вождение,Площадка (автодром),"занятие 45 минут у метро Церетели, механика или автомат — цена одна",40 ₾ за занятие,автошколе
Вождение,Город,реальные маршруты Тбилиси с инструктором,50 ₾ за занятие,автошколе
Дополнительно,Тестирование,"10-20 минут, показывает, сколько занятий реально нужно",бесплатно,автошколе
Дополнительно,Консультация по телефону,"этапы, документы, пошлины, сроки",бесплатно,автошколе
Дополнительно,Медицинская справка формы 100,выдаёт свой сертифицированный врач школы после осмотра,45 ₾,автошколе
Дополнительно,Справка об обучении,"нужна ученикам, которые выходят на экзамен в 17 лет",50 ₾,автошколе
Государственная пошлина,"Экзамен по теории, первая попытка","включает изготовление водительского удостоверения, оплата только грузинской картой",55 ₾,государству
Государственная пошлина,Пересдача теории,"каждая попытка, не раньше седьмого календарного дня",40 ₾,государству
Государственная пошлина,Экзамен по вождению в городе,оплата при записи на сайте госуслуг,90 ₾,государству
Государственная пошлина,Пересдача площадки со второй попытки,первая пересдача бесплатная,40 ₾,государству
Государственная пошлина,Ускоренная запись на экзамен по городу,"вместо 90 ₾ и ожидания — ближайшая дата, обычно через 2-3 дня",250 ₾,государству
Государственная пошлина,Международное водительское удостоверение,"по желанию, действует 3 года",109 ₾,государству
